iter	Passed	Remaining
417	2480	3453
418	2486	3448
419	2492	3442
420	2499	3437
421	2506	3432
422	2510	3424
423	2514	3415
424	2520	3409
425	2525	3402
426	2529	3393
427	2534	3387
428	2540	3381
429	2545	3373
430	2549	3366
431	2555	3360
432	2559	3351
433	2565	3345
434	2570	3338
435	2576	3332
436	2580	3323
437	2586	3318
438	2591	3311
439	2595	3303
440	2604	3301
441	2608	3293
442	2615	3288
443	2620	3281
444	2624	3273
445	2630	3266
446	2635	3260
447	2639	3252
448	2645	3246
449	2650	3239
450	2654	3231
451	2659	3224
452	2664	3217
453	2669	3211
454	2674	3203
455	2681	3198
456	2686	3192
457	2692	3186
458	2697	3179
459	2701	3171
460	2705	3162
461	2710	3155
462	2714	3148
463	2719	3140
464	2722	3132
465	2727	3125
466	2731	3117
467	2735	3109
468	2739	3101
469	2743	3093
470	2748	3086
471	2752	3078
472	2757	3071
473	2760	3063
474	2767	3058
475	2771	3050
476	2777	3045
477	2781	3037
478	2786	3030
479	2790	3022
480	2796	3017
481	2800	3010
482	2805	3003
483	2810	2996
484	2816	2990
485	2822	2985
486	2828	2979
487	2834	2974
488	2839	2967
489	2845	2961
490	2849	2954
491	2855	2948
492	2861	2943
493	2866	2936
494	2871	2929
495	2876	2922
496	2883	2917
497	2891	2915
498	2897	2909
499	2905	2905
500	2911	2900
501	2915	2892
502	2925	2890
503	2930	2884
504	2935	2877
505	2941	2871
506	2946	2864
507	2952	2859
508	2956	2852
509	2961	2845
510	2968	2840
511	2972	2833
512	2977	2826
513	2982	2819
514	2988	2814
515	2992	2807
516	2997	2800
517	3002	2794
518	3008	2788
519	3013	2781
520	3018	2775
521	3022	2768
522	3027	2761
523	3032	2754
524	3037	2748
525	3042	2741
526	3047	2734
527	3051	2727
528	3056	2721
529	3060	2713
530	3066	2708
531	3070	2701
532	3078	2696
533	3084	2692
534	3090	2685
535	3096	2680
536	3100	2673
537	3105	2666
538	3109	2659
539	3114	2653
540	3118	2645
541	3124	2640
542	3129	2633
543	3133	2626
544	3137	2619
545	3142	2613
546	3146	2605
547	3151	2599
548	3155	2592
549	3159	2585
550	3163	2578
551	3167	2571
552	3172	2564
553	3176	2557
554	3181	2550
555	3185	2543
556	3190	2537
557	3195	2530
558	3200	2525
559	3204	2517
560	3209	2511
561	3213	2504
562	3218	2498
563	3222	2491
564	3227	2484
