iter	Logloss
0	0.6785563881
1	0.6663804497
2	0.6533917721
3	0.6431601982
4	0.6316978461
5	0.6205382682
6	0.6095044132
7	0.6000972954
8	0.5903858376
9	0.5807091683
10	0.5714126748
11	0.5633628102
12	0.5551896098
13	0.5482397378
14	0.5405822165
15	0.5348376712
16	0.5280123771
17	0.52296037
18	0.5181896204
19	0.5137504661
20	0.5091041567
21	0.5045099005
22	0.4991782351
23	0.4956966084
24	0.492211504
25	0.4886529289
26	0.48536182
27	0.4817413433
28	0.4785997708
29	0.474911501
30	0.472201762
31	0.4699116865
32	0.4673464097
33	0.4641152088
34	0.4613298
35	0.459102152
36	0.4566856017
37	0.4536964064
38	0.4510632479
39	0.4486750779
40	0.4474454835
41	0.4452264392
42	0.4431248645
43	0.441278974
44	0.4396126982
45	0.4375903418
46	0.4353400323
47	0.4331760561
48	0.4312009678
49	0.4295665695
50	0.4281927043
51	0.4264978738
52	0.4250071664
53	0.4233033469
54	0.421774608
55	0.4202472302
56	0.419043628
57	0.4175940606
58	0.4160735109
59	0.4148534249
60	0.4137537521
61	0.4127047767
62	0.4115773375
63	0.4104231387
64	0.4091616597
65	0.4079430434
66	0.4070232615
67	0.405862023
68	0.4044478966
69	0.4034834589
70	0.4026998327
71	0.40172382
72	0.4004702774
73	0.3998269127
74	0.3988285119
75	0.3977601587
76	0.3968067622
77	0.3958781006
78	0.3949263043
79	0.3939057385
80	0.3927976994
81	0.391685135
82	0.3907160333
83	0.3900277633
84	0.3889585309
85	0.3882963789
86	0.3874721017
87	0.3868279165
88	0.3861260984
89	0.3853903588
90	0.3847904169
91	0.3842004749
92	0.3836573335
93	0.3829739596
94	0.382254387
95	0.381369154
96	0.3806947032
97	0.3800010219
98	0.3793927414
99	0.378453591
100	0.3774716315
101	0.3765234138
102	0.3762270514
103	0.3752510808
104	0.3747102615
105	0.3737206796
106	0.3731032906
107	0.3722411424
108	0.3715990899
109	0.3707242333
110	0.3702776024
111	0.3697447334
112	0.368998748
113	0.3681285275
114	0.3672657295
115	0.3665412795
116	0.3661028434
117	0.3652984506
118	0.3647644176
119	0.3636430955
120	0.362962329
121	0.3624384742
122	0.36200408
123	0.3616513084
124	0.3610239821
125	0.3605256094
126	0.3601570341
127	0.3593055673
128	0.358669403
129	0.3582628209
130	0.3577713507
131	0.3572549953
132	0.356711986
133	0.3561032196
134	0.3555476888
135	0.3552145767
136	0.3546632376
137	0.3541352391
138	0.3534817995
139	0.3528086265
140	0.3522899263
141	0.3518324004
142	0.3510338393
143	0.350265228
144	0.3499079565
